"","X","code_spygen","code_explo","rep","date","station","site","region","country","project","sample_type","sample_method","time_start","time_end","duration_min","volume","depth","temperature","turbidity","habitat","gps_start","latitude_start","longitude_start","gps_b","lat_gps_b","long_gps_b","gps_c","lat_gps_c","long_gps_c","gps_d","lat_gps_d","long_gps_d","gps_half_turn","latitude_turn","longitude_turn","gps_end","latitude_end","longitude_end","filter","data_manager","gps_owner","comment","longitude_start_clean","latitude_start_clean","dist_to_coast..m.","dist_to_CT"
"21","22","SPY180582","YMPL003",1,"15/03/2018","malpelo_20m","malpelo","East_Pacific","Columbia","megafauna","point","niskin","14:52","15:02","15",24,"20",NA,NA,"marine","E011","?3.99820","?-81.56845",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,"JB Juhel","megafauna",NA,-81.56845,3.9982,2562,"16106.81"
"22","23","SPY180583","YMPL005",1,"15/03/2018","malpelo_100m","malpelo","East_Pacific","Columbia","megafauna","point","niskin","15:35","15:45","15",6,"100",NA,NA,"marine","E021","?3.99737","?-81.56515",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,"JB Juhel","megafauna","Problème pompe: arrêt et remplacement",-81.56515,3.99737,2880,"16107.18"
"23","24","SPY180584","YMPL004",1,"17/03/2018","malpelo_50m","malpelo","East_Pacific","Columbia","megafauna","point","niskin","08:29","08:39","15",12,"50",NA,NA,"marine","E031","?4.00307","?-81.57030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,"JB Juhel","megafauna",NA,-81.5703,4.00307,2574,"16106.57"
"24","25","SPY180585","YMPL005",2,"15/03/2018","malpelo_100m","malpelo","East_Pacific","Columbia","megafauna","point","niskin","16:10","16:20","15",18,"100",NA,NA,"marine","E041","?4.00307","?-81.57030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,"JB Juhel","megafauna",NA,-81.5703,4.00307,2574,"16106.57"
"25","26","SPY180586","YMPL007",1,"17/03/2018","malpelo_300m","malpelo","East_Pacific","Columbia","megafauna","point","niskin","09:00","09:10","15",12,"300",NA,NA,"marine","E051","?4.00307","?-81.57030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,"JB Juhel","megafauna",NA,-81.5703,4.00307,2574,"16106.57"
"26","27","SPY180587","YMPL006",1,"17/03/2018","malpelo_200m","malpelo","East_Pacific","Columbia","megafauna","point","niskin","09:20","09:30","15",12,"200",NA,NA,"marine","E061","?4.00307","?-81.57030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,"JB Juhel","megafauna",NA,-81.5703,4.00307,2574,"16106.57"
"27","28","SPY180588","YMPL002",1,"17/03/2018","malpelo_10m","malpelo","East_Pacific","Columbia","megafauna","point","niskin","08:15","08:25","15",12,"10",NA,NA,"marine","E071","?4.00307","?-81.57030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,"JB Juhel","megafauna",NA,-81.5703,4.00307,2574,"16106.57"
"28","29","SPY180589","YMPL009",1,"15/03/2018","malpelo1","malpelo","East_Pacific","Columbia","megafauna","transect","transect_rectangle","15:12","15:42","30",30,"0",27.5,0,"marine","E081","?4.01142","?-81.59661","E082","?4.02025","?-81.61130","E083","?4.01692","?-81.61336",NA,NA,NA,NA,NA,NA,"E084","?4.00738","?-81.59895",0.2,"Florine Hadjadj","megafauna",NA,-81.59661,4.01142,1846,"16103.6"
"29","30","SPY180590","YMPL009",2,"15/03/2018","malpelo1","malpelo","East_Pacific","Columbia","megafauna","transect","transect_rectangle","15:12","15:42","30",30,"0",27.5,0,"marine","E081","?4.01142","?-81.59661","E082","?4.02025","?-81.61130","E083","?4.01692","?-81.61336",NA,NA,NA,NA,NA,NA,"E084","?4.00738","?-81.59895",0.2,"Florine Hadjadj","megafauna",NA,-81.59661,4.01142,1846,"16103.6"
"30","31","SPY180591","YMPL008",1,"16/03/2018","malpelo_600m","malpelo","East_Pacific","Columbia","megafauna","point","niskin","09:50",NA,NA,12,"600",NA,NA,"marine","E091","?3.98735","?-81.57326",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,"JB Juhel","megafauna",NA,-81.57326,3.98735,1876,"16106.35"
"31","32","SPY180592","YMPL010",1,"15/03/2018","malpelo2","malpelo","East_Pacific","Columbia","megafauna","transect","transect_rectangle","16:13","16:43","30",30,"0",27.5,0,"marine","E101","?4.00685","?-81.60143","E102","?4.01102","?-81.60743","E103","?4.00202","?-81.61761",NA,NA,NA,NA,NA,NA,"E105","?4.00278","?-81.61322",0.2,"Florine Hadjadj","megafauna",NA,-81.60143,4.00685,1550,"16103.09"
"32","33","SPY180593","YMPL014",1,"17/03/2018","malpelo6","malpelo","East_Pacific","Columbia","megafauna","transect","transect_rectangle","09:40","10:10","30",30,"0",26.3,0,"marine","E141","?3.98944","?-81.60462","E142","?3.97541","?-81.59322","E143","?3.97891","?-81.59038",NA,NA,NA,NA,NA,NA,"E145","?3.99143","?-81.60401",0.2,"Florine Hadjadj","megafauna",NA,-81.60462,3.98944,493,"16102.86"
"33","34","SPY180594","YMPL010",2,"15/03/2018","malpelo2","malpelo","East_Pacific","Columbia","megafauna","transect","transect_rectangle","16:13","16:43","30",30,"0",25,0,"marine","E101","?4.00685","?-81.60143","E102","?4.01102","?-81.60743","E103","?4.00202","?-81.61761",NA,NA,NA,NA,NA,NA,"E105","?4.00278","?-81.61322",0.2,"Florine Hadjadj","megafauna","Arrêt pompe à 15min et reprise",-81.60143,4.00685,1550,"16103.09"
"34","35","SPY180595","YMPL013",1,"17/03/2018","malpelo5","malpelo","East_Pacific","Columbia","megafauna","transect","transect_rectangle","08:39","09:09","30",30,"0",26.3,0,"marine","E131","?4.00885","?-81.60547","E132","?3.99963","?-81.61489","E133","?4.00166","?-81.61781",NA,NA,NA,NA,NA,NA,"E134","?4.01077","?-81.60784",0.2,"Florine Hadjadj","megafauna",NA,-81.60547,4.00885,1996,"16102.63"
"35","36","SPY180596","YMPL011",1,"16/03/2018","malpelo3","malpelo","East_Pacific","Columbia","megafauna","transect","transect_rectangle","09:50","10:20","30",30,"0",25.4,0,"marine","E111","?4.00515","?-81.59995","E112","?4.00858","?-81.60355","E113","?3.99777","?-81.61281",NA,NA,NA,NA,NA,NA,"E114","?3.99504","?-81.60963",0.2,"Florine Hadjadj","megafauna","Observation : requin",-81.59995,4.00515,1303,"16103.27"
"36","37","SPY180597","YMPL011",2,"16/03/2018","malpelo3","malpelo","East_Pacific","Columbia","megafauna","transect","transect_rectangle","09:50","10:20","30",30,"0",25.4,0,"marine","E111","?4.00515","?-81.59995","E112","?4.00858","?-81.60355","E113","?3.99777","?-81.61281",NA,NA,NA,NA,NA,NA,"E114","?3.99504","?-81.60963",0.2,"Florine Hadjadj","megafauna","Observation : requin",-81.59995,4.00515,1303,"16103.27"
"37","38","SPY180598","YMPL013",2,"17/03/2018","malpelo5","malpelo","East_Pacific","Columbia","megafauna","transect","transect_rectangle","08:39","09:09","30",30,"0",26.3,0,"marine","E131","?4.00885","?-81.60547","E132","?3.99963","?-81.61489","E133","?4.00166","?-81.61781",NA,NA,NA,NA,NA,NA,"E134","?4.01077","?-81.60784",0.2,"Florine Hadjadj","megafauna",NA,-81.60547,4.00885,1996,"16102.63"
"38","39","SPY180599","YMPL012",1,"16/03/2018","malpelo4","malpelo","East_Pacific","Columbia","megafauna","transect","transect_rectangle","10:58","11:28","30",30,"0",25.4,0,"marine","E121","?3.99871","?-81.62184","E122","?3.98932","?-81.60735","E123","?3.98549","?-81.61006",NA,NA,NA,NA,NA,NA,"E124","?3.99590","?-81.62410",0.2,"Florine Hadjadj","megafauna",NA,-81.62184,3.99871,2671,"16100.89"
"39","40","SPY180600","YMPL015",1,"20/03/2018","bois_flottant","malpelo","East_Pacific","Columbia","megafauna","point","niskin","20:15","20:30","15",12,"0",NA,NA,"marine","E151","?4.02167","?-81.58500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,"Régis Hocdé","megafauna","Eau récoltée autour d'un bois  flottant, présence de poissons juvéniles, crabes, méduses, gastéropodes, copépodes, crustacés … ",-81.585,4.02167,3091,"16104.82"
"40","41","SPY180602","YMPL014",2,"17/03/2018","malpelo6","malpelo","East_Pacific","Columbia","megafauna","transect","transect_rectangle","09:40","10:10","30",30,"0",26.3,0,"marine","E141","?3.98944","?-81.60462","E142","?3.97541","?-81.59322","E143","?3.97891","?-81.59038",NA,NA,NA,NA,NA,NA,"E145","?3.99143","?-81.60401",0.2,"Florine Hadjadj","megafauna",NA,-81.60462,3.98944,493,"16102.86"
"41","42","SPY180604","YMPL012",2,"16/03/2018","malpelo4","malpelo","East_Pacific","Columbia","megafauna","transect","transect_rectangle","10:53","10:26","28",30,"0",25.4,0,"marine","E121","?3.99871","?-81.62184","E122","?3.98932","?-81.60735","E123","?3.98549","?-81.61006",NA,NA,NA,NA,NA,NA,"E124","?3.99590","?-81.62410",0.2,"Florine Hadjadj","megafauna","Arrêt pompe à 28min",-81.62184,3.99871,2671,"16100.89"
"42","43","SPY180782","YMPL016",1,"25/03/2018","camera1","malpelo","East_Pacific","Columbia","megafauna","transect","transect_rond","10:00","10:30","30",30,"0",NA,2,"marine","E161","?4.00594","?-81.60334",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E162","?4.00437","?-81.60217",0.2,"Virginie Marques","megafauna","Observation : green turtle, eagle rays",-81.60334,4.00594,1594,"16102.89"
"43","44","SPY180778","YMPL016",2,"25/03/2018","camera1","malpelo","East_Pacific","Columbia","megafauna","transect","transect_rond","10:00","10:30","30",30,"0",NA,2,"marine","E161","?4.00594","?-81.60334",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E162","?4.00437","?-81.60217",0.2,"Virginie Marques","megafauna",NA,-81.60334,4.00594,1594,"16102.89"
"44","45","SPY180781","YMPL017",1,"25/03/2018","camera2","malpelo","East_Pacific","Columbia","megafauna","transect","transect_rond","17:05","17:35","30",30,"0",NA,2,"marine","E171","?4.00276","?-81.60248",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E172","?4.00371","?-81.60393",0.2,"Virginie Marques","megafauna","Observation : eagle ray on surface ",-81.60248,4.00276,1272,"16103"
"45","46","SPY180776","YMPL017",2,"25/03/2018","camera2","malpelo","East_Pacific","Columbia","megafauna","transect","transect_rond","17:05","17:35","30",30,"0",NA,2,"marine","E171","?4.00276","?-81.60248",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E172","?4.00371","?-81.60393",0.2,"Virginie Marques","megafauna",NA,-81.60248,4.00276,1272,"16103"
"46","47","SPY180605","YMPL018",1,"26/03/2018","camera3","malpelo","East_Pacific","Columbia","megafauna","transect","transect_rond","09:45","10:15","30",30,"0",NA,2,"marine","E181","?4.00286","?-81.60259",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E182","?4.00220","?-81.60234",0.2,"Virginie Marques","megafauna",NA,-81.60259,4.00286,1289,"16102.99"
"47","48","SPY180601","YMPL018",2,"26/03/2018","camera3","malpelo","East_Pacific","Columbia","megafauna","transect","transect_rond","09:45","10:15","30",30,"0",NA,2,"marine","E181","?4.00286","?-81.60259",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E182","?4.00220","?-81.60234",0.2,"Virginie Marques","megafauna",NA,-81.60259,4.00286,1289,"16102.99"
"48","49","SPY180603","YMPL019",1,"27/03/2018","bruv1","malpelo","East_Pacific","Columbia","megafauna","transect","transect_rectangle","08:57","09:27","30",30,"0",NA,2,"marine","E191","?3.99357","?-81.61842","E192","?3.99352","?-81.62292","E193","?3.97565","?-81.62429","E194","?3.97536","?-81.61981",NA,NA,NA,"E195","?3.98820","?-81.61871",0.2,"Virginie Marques","megafauna",NA,-81.61842,3.99357,2062,"16101.3"
"49","50","SPY180775","YMPL019",2,"27/03/2018","bruv1","malpelo","East_Pacific","Columbia","megafauna","transect","transect_rectangle","08:57","09:27","30",30,"0",NA,2,"marine","E191","?3.99357","?-81.61842","E192","?3.99352","?-81.62292","E193","?3.97565","?-81.62429","E194","?3.97536","?-81.61981",NA,NA,NA,"E195","?3.98820","?-81.61871",0.2,"Virginie Marques","megafauna",NA,-81.61842,3.99357,2062,"16101.3"
"50","51","SPY180779","YMPL020",1,"27/03/2018","bruv2","malpelo","East_Pacific","Columbia","megafauna","transect","transect_rectangle","10:23","10:53","30",30,"0",NA,2,"marine","E201","?3.99290","?-81.62050","E202","?3.97631","?-81.62759","E203","?3.97383","?-81.62380","E204","?3.98855","?-81.61583",NA,NA,NA,"E204","?3.98855","?-81.61583",0.2,"Virginie Marques","megafauna","Observation : commun bottlenose dolphin",-81.6205,3.9929,2220,"16101.07"
"51","52","SPY180777","YMPL020",2,"27/03/2018","bruv2","malpelo","East_Pacific","Columbia","megafauna","transect","transect_rectangle","10:23","10:53","30",30,"0",NA,2,"marine","E201","?3.99290","?-81.62050","E202","?3.97631","?-81.62759","E203","?3.97383","?-81.62380","E204","?3.98855","?-81.61583",NA,NA,NA,"E204","?3.98855","?-81.61583",0.2,"Virginie Marques","megafauna",NA,-81.6205,3.9929,2220,"16101.07"
"52","53","SPY180768","YMPL021",1,"28/03/2018","camera4","malpelo","East_Pacific","Columbia","megafauna","transect","transect_rond","09:40","10:10","30",30,"0",NA,2,"marine","E211","?4.00226","?-81.60371",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E212","?4.00216","?-81.60266",0.2,"Virginie Marques","megafauna","Pump 2 stopped, false replicat with only one pump",-81.60371,4.00226,1343,"16102.87"
"53","54","SPY180769","YMPL021",2,"28/03/2018","camera4","malpelo","East_Pacific","Columbia","megafauna","transect","transect_rond","10:10","10:40","30",30,"0",NA,2,"marine","E213","?4.00202","?-81.60332",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E214","?4.00471","?-81.60428",0.2,"Virginie Marques","megafauna",NA,-81.60332,4.00202,1292,"16102.92"
"54","55","SPY180780","YMPL022",1,"28/03/2018","camera5","malpelo","East_Pacific","Columbia","megafauna","transect","transect_rond","15:20","15:50","30",30,"0",NA,2,"marine","E221","?4.00230","?-81.60392",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E222","?4.00407","?-81.60418",0.2,"Virginie Marques","megafauna","Leak on the filter cap when filling the buffer, some drops were lost before replacement of the cap ",-81.60392,4.0023,1364,"16102.85"
"55","56","SPY180773","YMPL022",2,"28/03/2018","camera5","malpelo","East_Pacific","Columbia","megafauna","transect","transect_rond","15:20","15:50","30",30,"0",NA,2,"marine","E221","?4.00230","?-81.60392",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E222","?4.00407","?-81.60418",0.2,"Virginie Marques","megafauna",NA,-81.60392,4.0023,1364,"16102.85"
"56","57","SPY173261","YGA007",1,"28/02/2018","anse_bertrand_cote","guadeloupe","Caribbean","France","megafauna","transect","transect_rectangle","15:03","15:33","30",30,"0",28,0,"marine","E61","?16.48538","?-61.50429","E62","?16.49499","?-61.48521","E63","?16.49877","?-61.48784","E64","?16.49212","?-61.50035",NA,NA,NA,"E64","?16.49212","?-61.50035",0.2,"Virginie Marques","megafauna","Ecoute : petit Rorqual et Baleine à bosse mâl à grande distance (>4 miles)",-61.50429,16.48538,278,"17655.6"
"57","58","SPY173262","YGA007",2,"28/02/2018","anse_bertrand_cote","guadeloupe","Caribbean","France","megafauna","transect","transect_rectangle","15:03","15:33","30",30,"0",28,0,"marine","E61","?16.48538","?-61.50429","E62","?16.49499","?-61.48521","E63","?16.49877","?-61.48784","E64","?16.49212","?-61.50035",NA,NA,NA,"E64","?16.49212","?-61.50035",0.2,"Virginie Marques","megafauna","Ecoute : petit Rorqual et Baleine à bosse mâl à grande distance (>4 miles)",-61.50429,16.48538,278,"17655.6"
"58","59","SPY173263","YGA008",1,"28/02/2018","anse_bertrand_large","guadeloupe","Caribbean","France","megafauna","transect","transect_rectangle","16:12","16:42","30",30,"0",28,0,"marine","E71","?16.50096","?-61.51445","E72","?16.51337","?-61.50085","E73","?16.51668","?-61.50405","E74","?16.50611","?-61.51916",NA,NA,NA,"E75","?16.50245","?-61.51697",0.2,"Virginie Marques","megafauna","Ecoute : petit Rorqual et Baleine à bosse mâl à grande distance (>4 miles)",-61.51445,16.50096,2211,"17653.62"
"59","60","SPY173264","YGA008",2,"28/02/2018","anse_bertrand_large","guadeloupe","Caribbean","France","megafauna","transect","transect_rectangle","16:12","16:42","30",30,"0",28,0,"marine","E71","?16.50096","?-61.51445","E72","?16.51337","?-61.50085","E73","?16.51668","?-61.50405","E74","?16.50611","?-61.51916",NA,NA,NA,"E75","?16.50245","?-61.51697",0.2,"Virginie Marques","megafauna","Ecoute : petit Rorqual et Baleine à bosse mâl à grande distance (>4 miles)",-61.51445,16.50096,2211,"17653.62"
"60","61","SPY173265","YGA009",1,"28/02/2018","anse_colas","guadeloupe","Caribbean","France","megafauna","transect","transect_rectangle","17:45","18:15","30",30,"0",28,0,"marine","E81","?16.47047","?-61.52166","E82","?16.45774","?-61.53509","E83","?16.46083","?-61.53851","E84","?16.46083","?-61.52590",NA,NA,NA,"E84","?16.46083","?-61.52590",0.2,"Virginie Marques","megafauna","Ecoute : petit Rorqual et Baleine à bosse mâl à grande distance (>4 miles) / Pompe prototype à débit 0,91L/min théorique",-61.52166,16.47047,339,"17655.43"
"61","62","SPY173266","YGA009",2,"28/02/2018","anse_colas","guadeloupe","Caribbean","France","megafauna","transect","transect_rectangle","17:45","18:15","30",30,"0",28,0,"marine","E81","?16.47047","?-61.52166","E82","?16.45774","?-61.53509","E83","?16.46083","?-61.53851","E84","?16.46083","?-61.52590",NA,NA,NA,"E84","?16.46083","?-61.52590",0.2,"Virginie Marques","megafauna","Ecoute : petit Rorqual et Baleine à bosse mâl à grande distance (>4 miles)",-61.52166,16.47047,339,"17655.43"
"62","63","SPY173267","YGA010",1,"01/03/2018","bouillante_large","guadeloupe","Caribbean","France","megafauna","transect","transect_rectangle","09:35","10:05","30",30,"0",28,0,"marine","E91","?16.07855","?-61.85716","E92","?16.08127","?-61.85252","E93","?16.09919","?-61.85313","E94","?16.09772","?-61.85753",NA,NA,NA,"E95","?16.08154","?-61.85836",0.2,"Virginie Marques","megafauna","Observation pseudoOrque (minium 6 visibles + nombreux a priori non visible sur zone)",-61.85716,16.07855,9926,"17659.55"
